icao24,callsign,altitude,velocity,heading,latitude,longitude,altitude_rate,heading_change,acceleration,abnormal,s3raphim_anomaly_flag,timestamp
39a889,QR684,47.0,10.0,279.0,12.4307,5.9712,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307204Z
be2abe,LH193,20196.0,447.0,266.0,12.7635,8.1203,804.0,0.0,0.0,1,0,2026-09-10T14:37:34.307216Z
88f0fd,AF457,46.0,14.0,186.0,11.1384,13.5158,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307232Z
749dde,AA123,22.0,30.0,84.0,7.0742,5.135,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307243Z
a77ec9,UA124,16.0,25.0,138.0,4.191,13.9976,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307253Z
822d6a,UA256,21214.0,260.0,30.0,4.447,13.2313,-630.0,0.0,0.0,1,0,2026-09-10T14:37:34.307268Z
f76e35,AF932,23848.0,325.0,51.0,4.4045,9.425,-1463.0,0.0,0.0,1,0,2026-09-10T14:37:34.307276Z
1c52ec,BA990,20770.0,407.0,290.0,12.8926,12.6612,-1709.0,0.0,0.0,1,0,2026-09-10T14:37:34.307283Z
611729,UA485,10109.0,488.0,262.0,10.5297,10.8302,1155.0,0.0,0.0,1,0,2026-09-10T14:37:34.307293Z
969c06,QR406,19598.0,264.0,137.0,12.1802,8.7058,-9500.0,0.0,0.0,1,1,2026-09-10T14:37:34.307301Z
b0d00e,DL989,40536.0,495.0,155.0,6.8055,2.6678,-1468.0,0.0,0.0,1,0,2026-09-10T14:37:34.307311Z
6034d5,EK627,31107.0,460.0,293.0,8.3487,10.8799,1267.0,0.0,0.0,1,0,2026-09-10T14:37:34.307318Z
1cb8da,EK492,5601.0,455.0,61.0,10.411,4.8953,-1472.0,0.0,0.0,1,0,2026-09-10T14:37:34.307327Z
9bd075,AF279,17370.0,298.0,47.0,11.4815,14.2762,1893.0,0.0,0.0,1,0,2026-09-10T14:37:34.307336Z
2281bd,AA690,28.0,21.0,188.0,6.492,5.5134,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307342Z
75b558,DL270,38.0,8.0,333.0,11.9986,3.3689,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307349Z
d4507a,AF745,14020.0,304.0,68.0,4.1619,11.0472,-661.0,0.0,0.0,1,0,2026-09-10T14:37:34.307355Z
2a1f5d,LH631,36.0,5.0,72.0,9.1654,6.4823,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307361Z
28ecc7,QR361,38071.0,260.0,2.0,12.0281,11.558,1443.0,0.0,0.0,1,0,2026-09-10T14:37:34.307367Z
82c2d3,SQ107,8.0,1.0,5.0,13.194,6.5768,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307373Z
bca3a1,QR919,23.0,27.0,50.0,12.3121,8.5512,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307379Z
0263f7,KL101,5.0,13.0,355.0,7.092,11.8818,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307385Z
0f7937,EK331,36580.0,348.0,280.0,7.3765,12.1603,-395.0,0.0,0.0,1,0,2026-09-10T14:37:34.307393Z
3376b7,AF451,34521.0,29.0,328.0,10.0577,14.0657,0.0,0.0,0.0,0,1,2026-09-10T14:37:34.307399Z
dde0b5,DL160,10698.0,449.0,130.0,6.1264,3.1409,-1836.0,0.0,0.0,1,0,2026-09-10T14:37:34.307407Z
828b4e,BA888,18312.0,384.0,203.0,4.9455,13.4962,1677.0,0.0,0.0,1,0,2026-09-10T14:37:34.307413Z
b2f44c,UA256,46.0,24.0,110.0,7.6345,14.0835,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307419Z
29b768,AA379,8.0,29.0,230.0,10.9739,11.9575,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307425Z
c072c8,EK971,13018.0,2.0,245.0,6.73,13.1985,0.0,0.0,0.0,0,1,2026-09-10T14:37:34.307431Z
27d12c,LH706,27.0,1.0,40.0,6.9696,10.3167,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307439Z
3aeeac,EK440,18587.0,323.0,40.0,6.2235,4.7775,-19.0,0.0,0.0,0,0,2026-09-10T14:37:34.307445Z
855165,AF984,22.0,8.0,6.0,11.1704,13.1567,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307451Z
56617e,LH772,16000.0,330.0,55.0,11.1359,9.5312,-540.0,0.0,0.0,1,0,2026-09-10T14:37:34.307460Z
3cdbcc,AA749,11417.0,500.0,50.0,9.8496,7.8346,-1215.0,0.0,0.0,1,0,2026-09-10T14:37:34.307466Z
8e7c68,AA895,23.0,3.0,8.0,6.8998,13.6955,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307472Z
e8d2d7,EK983,42.0,9.0,206.0,8.6259,5.8413,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307478Z
ff3e59,BA855,19022.0,470.0,120.0,5.5944,4.1983,162.0,0.0,0.0,1,0,2026-09-10T14:37:34.307485Z
49b572,BA947,16068.0,405.0,91.0,6.1219,5.3666,870.0,0.0,0.0,1,0,2026-09-10T14:37:34.307491Z
b75488,AF338,48.0,26.0,330.0,4.9529,10.3302,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307497Z
f489a4,BA160,30897.0,453.0,149.0,6.9024,5.1673,-1155.0,0.0,0.0,1,0,2026-09-10T14:37:34.307503Z
5b5921,QR797,4.0,15.0,293.0,13.4219,3.901,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307510Z
aa2032,BA208,18.0,5.0,345.0,8.3999,8.0604,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307519Z
b57e4b,BA670,47.0,25.0,203.0,4.4864,3.327,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307526Z
fa0418,EK379,37150.0,457.0,135.0,6.527,6.9504,122.0,0.0,0.0,1,0,2026-09-10T14:37:34.307533Z
5ccdf0,UA511,20.0,26.0,53.0,5.4493,6.3676,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307538Z
117cbe,DL519,11.0,2.0,159.0,10.5345,2.5373,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307544Z
15485b,KL230,27438.0,477.0,329.0,9.9056,7.2812,-1396.0,0.0,0.0,1,0,2026-09-10T14:37:34.307551Z
5b6a6f,QR261,6.0,30.0,49.0,8.3981,6.4675,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307557Z
732e59,UA765,38651.0,490.0,188.0,9.2139,4.1091,603.0,0.0,0.0,1,0,2026-09-10T14:37:34.307563Z
acb775,SQ885,28.0,14.0,268.0,10.3564,10.3469,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307569Z
425c48,SQ270,34.0,14.0,260.0,4.8007,4.1778,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307575Z
c2616e,QR783,8.0,20.0,57.0,5.5511,10.9123,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307581Z
82d4fe,KL566,30.0,6.0,189.0,12.9462,12.2552,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307589Z
aedf62,KL753,15.0,11.0,305.0,6.1941,10.0291,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307595Z
c9b79a,QR465,19726.0,499.0,104.0,11.9617,7.7977,-805.0,0.0,0.0,1,0,2026-09-10T14:37:34.307601Z
850fa4,LH964,27551.0,495.0,231.0,7.3679,3.2212,892.0,0.0,0.0,1,0,2026-09-10T14:37:34.307608Z
b3d4ce,DL524,16.0,24.0,54.0,4.8122,10.4855,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307614Z
d0ac17,AF167,23.0,16.0,201.0,13.4251,9.9515,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307620Z
024175,DL256,6488.0,297.0,215.0,12.2434,4.9232,1689.0,0.0,0.0,1,0,2026-09-10T14:37:34.307627Z
4f1e4b,AF476,11474.0,459.0,289.0,4.2589,13.3659,-6.0,0.0,0.0,0,0,2026-09-10T14:37:34.307633Z
1049e9,EK364,9.0,22.0,10.0,5.5483,4.8799,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307639Z
7990a1,LH618,12014.0,-20.0,195.0,6.0437,3.1998,-201.0,0.0,0.0,1,1,2026-09-10T14:37:34.307645Z
e49f21,DL725,43.0,15.0,77.0,4.8517,3.2726,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307654Z
31ea14,UA632,10.0,9.0,39.0,5.9018,5.9735,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307660Z
992cff,BA600,33.0,8.0,294.0,10.0649,9.5832,0.0,0.0,0.0,0,0,2026-09-10T14:37:34.307666Z
